radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    4121.139,    2249.861,       5.177,      13.111,       6.948,57823, 1130,  556.634979,  249.926960,   99.261240,    2289.078
    4131.143,    2239.857,       5.172,      13.099,       6.944,57823, 1087,  554.846727,  249.386242,   98.733636,    2286.569
    4141.148,    2229.852,       5.167,      13.086,       6.940,57823, 1045,  553.059611,  248.844395,   98.207740,    2284.054
    4151.153,    2219.847,       5.162,      13.074,       6.936,57823, 1005,  551.282198,  248.301134,   97.680378,    2281.534
    4161.158,    2209.842,       5.157,      13.062,       6.931,57823,  966,  549.522001,  247.756163,   97.154083,    2279.009
    4171.162,    2199.838,       5.152,      13.050,       6.927,57823,  928,  547.777574,  247.209327,   96.633248,    2276.479
    4181.167,    2189.833,       5.147,      13.038,       6.923,57823,  892,  546.044849,  246.660337,   96.111054,    2273.943
    4191.172,    2179.828,       5.142,      13.026,       6.918,57823,  857,  544.325360,  246.109119,   95.589266,    2271.403
    4201.177,    2169.823,       5.137,      13.014,       6.914,57823,  823,  542.623026,  245.555757,   95.066639,    2268.857
    4211.181,    2159.819,       5.132,      13.002,       6.909,57823,  791,  540.942645,  245.000667,   94.546134,    2266.305
    4221.186,    2149.814,       5.127,      12.990,       6.905,57823,  759,  539.281271,  244.443945,   94.026973,    2263.746
    4231.191,    2139.809,       5.122,      12.978,       6.900,57823,  729,  537.589032,  243.885498,   93.498897,    2261.179
    4241.196,    2129.804,       5.118,      12.966,       6.895,57823,  700,  535.860114,  243.325037,   92.982206,    2258.605
    4251.201,    2119.799,       5.113,      12.953,       6.891,57823,  673,  534.139450,  242.764476,   92.464209,    2256.025
    4261.205,    2109.795,       5.108,      12.941,       6.886,57823,  646,  532.405220,  242.219893,   91.946231,    2253.439
    4271.210,    2099.790,       5.103,      12.928,       6.882,57823,  621,  530.643427,  241.697922,   91.430109,    2250.848
    4281.215,    2089.785,       5.098,      12.916,       6.878,57823,  596,  528.881988,  241.176003,   90.912497,    2248.254
    4291.220,    2079.780,       5.093,      12.904,       6.874,57823,  573,  527.122190,  240.650149,   90.399435,    2245.657
    4301.224,    2069.776,       5.088,      12.891,       6.870,57823,  551,  525.332459,  240.124692,   89.885302,    2243.057
    4311.229,    2059.771,       5.083,      12.878,       6.866,57823,  529,  523.517524,  239.601992,   89.364793,    2240.454
    4321.234,    2049.766,       5.078,      12.865,       6.862,57823,  509,  521.719031,  239.083733,   88.851498,    2237.846
    4331.239,    2039.761,       5.073,      12.853,       6.858,57823,  490,  519.920766,  238.575338,   88.338814,    2235.234
    4341.243,    2029.757,       5.068,      12.840,       6.854,57823,  471,  518.125891,  238.073111,   87.826921,    2232.618
    4351.248,    2019.752,       5.063,      12.827,       6.849,57823,  454,  516.406423,  237.520551,   87.324706,    2229.996
    4361.253,    2009.747,       5.058,      12.815,       6.845,57823,  437,  514.683530,  236.972862,   86.813737,    2227.370
    4371.258,    1999.742,       5.053,      12.802,       6.840,57823,  422,  512.966059,  236.427350,   86.302078,    2224.738
